opportunity_id,product,account,deal_stage,close_date,close_value
TCHFT25B,GTX Basic,Stanredtax,Lost,2017-03-08,0.0
CZVN09WN,GTX Plus Basic,Konmatfix,Won,2017-03-20,1170.0
EG7OFLFR,GTX Basic,,Engaging,,
30UQWUKB,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2017-03-20,1162.0
OLVI7L8M,GTXPro,,Engaging,,
97UN20YY,MG Advanced,Conecom,Won,2017-03-14,3725.0
JXLERZ9O,GTX Basic,Golddex,Won,2017-03-31,559.0
6ROE69W5,GTX Basic,Plexzap,Lost,2017-03-11,0.0
0DFXFKT7,GTX Plus Basic,Rundofase,Lost,2017-03-21,0.0
XKMZVSN4,GTX Plus Pro,Sonron,Won,2017-03-05,4667.0
IU8V0BZK,GTX Plus Basic,Finhigh,Won,2017-03-17,903.0
XY42936P,GTX Plus Basic,Finjob,Won,2017-03-13,1180.0
XRN54MBM,GTX Basic,Ron-tech,Won,2017-03-05,487.0
2V848WZD,MG Advanced,Stanredtax,Won,2017-03-04,3180.0
ONYNTUCG,GTXPro,Funholding,Lost,2017-03-17,0.0
HIOHX80Y,MG Advanced,Gogozoom,Won,2017-03-18,3563.0
F5U1ACDD,GTX Plus Basic,,Engaging,,
LPKT07PV,GTXPro,Opentech,Won,2017-03-23,4704.0
WPB2SLIG,GTX Plus Pro,Silis,Won,2017-03-14,5585.0
XUSUEAV7,GTK 500,Zoomit,Won,2017-03-09,25897.0
ZZY4516R,MG Advanced,,Engaging,,
3TYPII47,GTX Plus Basic,Goodsilron,Won,2017-03-03,1207.0
7WAX8Z8O,MG Advanced,Cancity,Lost,2017-03-08,0.0
MYDUMR3R,GTX Basic,Rangreen,Won,2017-03-04,559.0
0DRC1U9Q,GTX Basic,Green-Plus,Engaging,,
37JFKD4I,GTX Plus Basic,dambase,Won,2017-03-09,1033.0
25YKPHX8,GTX Basic,Kan-code,Won,2017-03-21,462.0
BXXMA7F3,MG Advanced,Nam-zim,Lost,2017-03-01,0.0
GIUUTBXM,GTXPro,Y-corporation,Won,2017-03-14,5539.0
MFX2LR1Q,MG Advanced,Ron-tech,Won,2017-03-15,3573.0
DUHE9FLY,GTXPro,Conecom,Won,2017-03-01,4926.0
96BSG7R1,GTX Plus Basic,Sunnamplex,Lost,2017-03-17,0.0
7FQMSWIX,MG Special,Bioplex,Won,2017-03-04,62.0
C20AVXN7,GTXPro,Gogozoom,Won,2017-03-14,4359.0
GS1QVWCR,GTX Basic,Plusstrip,Won,2017-03-31,566.0
ZWH8FXY3,GTX Basic,Toughzap,Won,2017-03-03,508.0
2U94Y3Q9,MG Advanced,Vehement Capital Partners,Lost,2017-03-20,0.0
AAR79NOO,MG Special,Codehow,Won,2017-03-11,51.0
B6B0PNR2,GTXPro,Dalttechnology,Won,2017-03-05,4899.0
M7I5O9YU,GTX Basic,Cheers,Engaging,,
LXZA2OSZ,GTX Plus Pro,Ontomedia,Won,2017-03-03,5790.0
N0ONCYVZ,MG Special,Kinnamplus,Lost,2017-03-30,0.0
GYB4W2AU,MG Advanced,,Engaging,,
513DPFX5,GTXPro,Codehow,Won,2017-03-03,4438.0
RU023K5W,MG Advanced,Finhigh,Won,2017-03-17,2972.0
VDIU10RV,MG Special,Lexiqvolax,Engaging,,
BZCBQ514,GTX Basic,Y-corporation,Won,2017-03-01,523.0
HEE6P0QH,MG Advanced,Statholdings,Won,2017-03-25,3647.0
L8CHRJ2B,MG Advanced,Umbrella Corporation,Won,2017-03-01,4200.0
579LZ3F9,GTX Plus Basic,J-Texon,Engaging,,
SU8JNMP4,GTX Plus Basic,Bubba Gump,Engaging,,
V2X2KMUR,GTX Plus Basic,Faxquote,Won,2017-03-28,1059.0
AJIPJP75,GTX Plus Basic,Codehow,Lost,2017-03-05,0.0
NYVA2G6U,MG Special,Dontechi,Won,2017-03-02,57.0
FF45BXTL,MG Advanced,Konex,Won,2017-03-27,3671.0
TTA9LYBS,MG Special,Treequote,Won,2017-03-01,58.0
PAGZQH8L,MG Advanced,Treequote,Won,2017-03-06,3956.0
J7YF6DS7,GTX Plus Pro,Betasoloin,Won,2017-03-01,5964.0
S5IXY4Z9,GTXPro,Betasoloin,Won,2017-03-06,4570.0
JQBJMETQ,MG Special,Domzoom,Won,2017-03-27,49.0
0LVWSWEW,MG Special,Donquadtech,Won,2017-03-06,65.0
K53BC1T9,MG Special,Domzoom,Lost,2017-03-27,0.0
D40N5I9Y,GTXPro,Finhigh,Won,2017-03-08,4739.0
051QTX8Z,GTX Plus Basic,Globex Corporation,Won,2017-03-21,1080.0
5D2XH04S,MG Special,Plussunin,Won,2017-03-12,57.0
V9E582SK,GTX Basic,Konex,Won,2017-03-16,469.0
UK0LEZRJ,GTX Basic,Condax,Won,2017-03-03,532.0
PFFHM7HR,MG Advanced,Opentech,Engaging,,
IT10CFQH,GTX Basic,Konex,Won,2017-03-26,538.0
8VKD2CCH,GTXPro,Massive Dynamic,Won,2017-03-21,4829.0
2XQAKBXH,GTX Plus Pro,Doncon,Won,2017-03-11,5370.0
7G7YLGJO,GTX Plus Pro,Hatfan,Won,2017-03-21,6499.0
GCA97W27,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2017-03-06,1161.0
K8FUZHOG,GTX Basic,Scotfind,Won,2017-03-26,576.0
5WJZMULK,GTX Plus Basic,Hatfan,Won,2017-03-19,979.0
ZPYD4T9W,MG Special,Stanredtax,Won,2017-03-07,43.0
KE9ZEDS8,MG Special,Scottech,Won,2017-03-07,57.0
7KK0HQ4C,MG Special,Ron-tech,Lost,2017-03-28,0.0
FP7014Z0,GTX Plus Basic,Funholding,Won,2017-03-12,948.0
N4HFHDMW,MG Advanced,Plussunin,Won,2017-03-10,3012.0
2HFLKREC,MG Advanced,Zotware,Won,2017-03-15,3665.0
7JVTTVCO,GTX Basic,Gekko & Co,Won,2017-03-24,564.0
3X13866U,GTX Plus Basic,dambase,Lost,2017-03-06,0.0
7LE19SYE,MG Advanced,Initech,Won,2017-03-22,3463.0
J5V2M7Y1,GTX Basic,Gekko & Co,Won,2017-03-26,513.0
41MURAI5,GTX Basic,Konex,Won,2017-03-28,590.0
QHI8WRIA,GTXPro,Dontechi,Won,2017-03-30,4511.0
AJXAXV4W,MG Advanced,Finhigh,Lost,2017-03-02,0.0
VPDXX5PJ,GTX Basic,Cancity,Won,2017-03-26,546.0
PZB9NUK8,MG Special,Y-corporation,Won,2017-03-05,46.0
A0ANOYPF,GTXPro,Ron-tech,Won,2017-03-09,4891.0
0P4AAPYX,GTX Plus Basic,Golddex,Won,2017-03-03,1040.0
O6T5WC3W,GTX Plus Basic,Sonron,Won,2017-03-04,1108.0
0NO04P6C,MG Special,Nam-zim,Won,2017-03-04,59.0
22OFSXBT,GTXPro,Statholdings,Won,2017-03-30,5406.0
MRXZTMM6,GTX Basic,Cheers,Won,2017-03-20,515.0
LGI8QEC2,GTX Basic,Treequote,Won,2017-03-06,583.0
6KZ0NCFX,MG Special,Funholding,Won,2017-03-14,54.0
3SF8O9S6,MG Special,Plusstrip,Won,2017-03-27,60.0
CNM0H9FR,GTX Basic,,Engaging,,
XK668R7C,GTX Basic,Dontechi,Lost,2017-03-12,0.0
TZCAQWL3,GTXPro,Funholding,Lost,2017-03-19,0.0
BADC6A9H,GTX Basic,Globex Corporation,Won,2017-03-23,516.0
B8E0UUZR,GTXPro,Rangreen,Won,2017-03-22,4829.0
I043RXJV,GTX Plus Basic,Dontechi,Lost,2017-03-17,0.0
MWWB44CC,GTX Plus Basic,Donquadtech,Won,2017-03-02,950.0
HBTINPDG,GTX Plus Basic,Xx-holding,Lost,2017-03-09,0.0
DZ3KHZSX,GTX Basic,Initech,Won,2017-03-20,513.0
3W1K7X5F,GTXPro,Condax,Lost,2017-03-09,0.0
45A57X68,GTX Plus Pro,Ron-tech,Won,2017-03-12,5522.0
9SLYC4TR,MG Special,Cancity,Won,2017-03-09,56.0
JLWKWQYC,GTXPro,Doncon,Won,2017-03-08,5673.0
7QC6FOKW,GTX Basic,Xx-holding,Won,2017-03-10,598.0
XA184CMW,GTX Plus Pro,Rangreen,Won,2017-03-16,5787.0
S0N7BYU3,GTX Plus Basic,Singletechno,Won,2017-03-08,1070.0
6WOMHAJM,MG Advanced,Donquadtech,Won,2017-03-14,3677.0
G1QGATKV,GTX Plus Pro,Ontomedia,Won,2017-03-30,5425.0
UAE5ZC7O,GTX Plus Pro,,Engaging,,
6XFVQI32,MG Advanced,Yearin,Won,2017-03-23,3415.0
JUCNIG4H,GTX Basic,,Engaging,,
OGD4MDJ9,GTX Plus Basic,Lexiqvolax,Won,2017-03-21,891.0
4NGBUZWJ,GTX Basic,Codehow,Won,2017-03-12,609.0
EFG5DGV5,MG Special,Plusstrip,Won,2017-03-16,54.0
82MM4H33,GTX Plus Basic,Labdrill,Won,2017-03-09,1049.0
14PM641K,GTX Plus Basic,Gekko & Co,Won,2017-03-07,1152.0
DSBGHOPN,MG Special,Plussunin,Lost,2017-03-20,0.0
1YSOZLHF,GTXPro,Umbrella Corporation,Won,2017-03-28,4799.0
E8RP9FRW,MG Special,dambase,Won,2017-03-12,51.0
787IRG9Q,MG Advanced,J-Texon,Won,2017-03-03,3426.0
0TUS4NAC,MG Special,Rangreen,Won,2017-03-11,51.0
FAJTQMUM,GTX Basic,Finjob,Won,2017-03-20,564.0
TWF0J0DF,GTX Plus Pro,Isdom,Won,2017-03-01,5882.0
ICMXZOVL,GTXPro,Stanredtax,Engaging,,
UQ14O415,GTXPro,Plussunin,Won,2017-03-20,5059.0
IBEUTCSW,MG Advanced,,Engaging,,
O3KC8QI8,GTX Plus Basic,,Engaging,,
BOJSLNDG,MG Advanced,Singletechno,Won,2017-03-11,3388.0
WALNFJ70,GTX Plus Pro,,Engaging,,
DASMR0EK,GTX Plus Pro,Zoomit,Won,2017-03-10,5410.0
A76M0OOH,GTX Plus Basic,Zathunicon,Won,2017-03-28,978.0
E1VKE2PH,MG Special,Scotfind,Won,2017-03-26,54.0
SKY95DVG,MG Special,Betatech,Lost,2017-03-22,0.0
V5OK4V5I,GTX Basic,Bubba Gump,Won,2017-03-14,549.0
GJ4L5HHN,GTX Plus Basic,Mathtouch,Won,2017-03-14,1034.0
9R8JWY3J,GTXPro,Vehement Capital Partners,Won,2017-03-03,4998.0
0EOFVU05,MG Advanced,Ontomedia,Won,2017-03-28,3421.0
HNHOPL7M,GTX Plus Pro,Doncon,Won,2017-03-04,5425.0
Y0NYI17R,MG Special,Dalttechnology,Won,2017-03-15,55.0
R4F4RGAL,MG Advanced,Silis,Won,2017-03-14,3558.0
MNVMY83P,GTXPro,Plussunin,Engaging,,
0ZHLQFGU,GTXPro,Blackzim,Won,2017-03-22,4839.0
40DPY158,MG Special,Hottechi,Won,2017-03-25,47.0
DP9E525R,GTX Plus Basic,Fasehatice,Won,2017-03-24,1007.0
DBDUMQQK,MG Special,Inity,Won,2017-03-24,48.0
CNBN12RL,MG Special,Treequote,Won,2017-03-07,49.0
OXL0YWEE,GTX Basic,Mathtouch,Won,2017-03-18,504.0
ZOBJHMAF,MG Advanced,,Engaging,,
KD6MB4AP,MG Special,,Engaging,,
5CSSZJF4,GTX Basic,Finhigh,Won,2017-03-21,543.0
0XG8TOJF,GTX Plus Pro,Fasehatice,Lost,2017-03-18,0.0
IIS0O91J,GTXPro,Fasehatice,Won,2017-03-28,5149.0
2LP5SUR5,GTX Basic,Treequote,Lost,2017-03-09,0.0
PYZZ3IS6,GTX Plus Basic,Blackzim,Won,2017-03-11,1043.0
5I4K5TQE,GTX Plus Pro,Sumace,Lost,2017-03-09,0.0
RV3LPOYP,GTX Basic,Condax,Won,2017-03-29,437.0
A194RP0I,MG Advanced,,Engaging,,
1HVNTEPV,GTXPro,Kinnamplus,Won,2017-03-11,4465.0
LC85AQ1I,GTX Basic,Konex,Won,2017-03-18,443.0
TBV972NP,MG Special,Sumace,Lost,2017-03-23,0.0
EJMX0EIJ,GTX Plus Pro,Betatech,Won,2017-03-20,4278.0
VR9NYBOV,MG Special,Kinnamplus,Won,2017-03-06,41.0
3U25FK08,GTX Basic,Isdom,Won,2017-03-28,519.0
KV2OFRJT,GTXPro,,Engaging,,
CRLK4Z1P,GTX Basic,Kan-code,Won,2017-03-04,524.0
OGENAT0L,GTX Basic,Singletechno,Won,2017-03-27,552.0
F57JWIDF,GTX Plus Basic,Konmatfix,Won,2017-03-02,970.0
ERFRHR3Z,MG Advanced,,Engaging,,
J53D8EOL,GTX Plus Basic,Hottechi,Engaging,,
LF8JZ3Q5,GTX Plus Basic,Hatfan,Won,2017-03-13,1046.0
MRGBSMQ5,GTX Plus Basic,Sunnamplex,Won,2017-03-14,988.0
CBAV8ZJL,GTX Basic,Codehow,Won,2017-03-22,547.0
J32XDDAW,GTX Basic,,Engaging,,
NN4DWBVN,GTXPro,Singletechno,Lost,2017-03-04,0.0
6JXHEZYK,MG Special,Isdom,Won,2017-03-31,54.0
WDHNR2EI,MG Special,Silis,Won,2017-03-20,57.0
4K750D6F,MG Special,Yearin,Won,2017-03-18,55.0
94GI0ZJ7,GTX Plus Pro,Stanredtax,Won,2017-03-15,5765.0
TODG6DEK,GTX Basic,Bioplex,Won,2017-03-16,639.0
G0ECB8FS,GTXPro,Labdrill,Won,2017-03-15,5100.0
1ZDDZD8B,MG Special,,Engaging,,
96MZYUY0,GTXPro,Fasehatice,Won,2017-03-07,4906.0
EZVKSQ9C,GTX Plus Pro,Genco Pura Olive Oil Company,Engaging,,
RJYG004O,GTX Basic,Domzoom,Engaging,,
JZOKHHWN,GTX Plus Basic,Opentech,Won,2017-03-07,1037.0
EH6I67I0,GTX Basic,Plexzap,Won,2017-03-15,537.0
JUUXF02Z,GTXPro,Hatfan,Won,2017-03-09,4694.0
OT87JDWO,GTX Basic,Konmatfix,Won,2017-03-24,560.0
YHKT6YJ7,GTX Basic,dambase,Won,2017-03-13,589.0
H78I3TAY,GTX Basic,Mathtouch,Won,2017-03-14,493.0
1ROC43JK,MG Special,Betatech,Won,2017-03-08,50.0
LPZLQL48,GTX Basic,Y-corporation,Won,2017-03-28,492.0
PYOFK7ZD,GTX Basic,,Engaging,,
DWUXMAGZ,GTX Plus Pro,,Engaging,,
3KR50X38,GTX Plus Basic,Konex,Won,2017-03-13,1255.0
Q3WLHRE9,GTX Basic,Statholdings,Won,2017-03-04,463.0
IX7UEOAP,GTX Plus Basic,Initech,Lost,2017-03-27,0.0
NQU62K1H,GTX Basic,Zencorporation,Won,2017-03-12,605.0
NAQKOU0T,GTX Plus Basic,Fasehatice,Won,2017-03-20,1315.0
I3V3GUAI,GTX Basic,Zumgoity,Won,2017-03-02,559.0
PN4VJDXY,GTX Basic,Rundofase,Won,2017-03-28,557.0
K9D4DQ3R,MG Special,Vehement Capital Partners,Won,2017-03-02,48.0
9X6V79KE,GTX Plus Pro,Isdom,Won,2017-03-25,6282.0
6SN2RQJX,MG Special,,Engaging,,
W1KLFNE4,MG Advanced,Isdom,Won,2017-03-02,3246.0
NKPH3EFG,MG Advanced,,Engaging,,
GD2OCW12,GTX Basic,Finhigh,Won,2017-03-14,514.0
6XO4RYXK,GTX Plus Basic,Silis,Won,2017-03-15,1132.0
18Y7GRPW,GTX Plus Pro,Silis,Won,2017-03-21,5918.0
127ZPLXQ,GTXPro,Hottechi,Lost,2017-03-18,0.0
U07C2HEG,MG Special,Kan-code,Lost,2017-03-14,0.0
RNTOJ78L,MG Special,Hatfan,Lost,2017-03-13,0.0
N07K7DR7,MG Special,Plexzap,Engaging,,
NLB4D5BQ,MG Advanced,Gogozoom,Won,2017-03-24,2955.0
FCFDJIEZ,GTXPro,Fasehatice,Won,2017-03-21,3742.0
YZGDW4G1,MG Special,Initech,Won,2017-03-14,64.0
G8AO5FA2,MG Advanced,Initech,Lost,2017-03-27,0.0
125VIRMX,GTK 500,Warephase,Engaging,,
LXXW3TRW,GTX Plus Basic,Scotfind,Won,2017-03-18,1164.0
8KJ3H262,MG Special,Singletechno,Won,2017-03-07,65.0
88POGNEL,GTX Plus Basic,Cancity,Lost,2017-03-07,0.0
UYP3NNU6,GTX Basic,Groovestreet,Won,2017-03-16,441.0
S1V8684Y,GTX Plus Basic,Finhigh,Lost,2017-03-12,0.0
MOPWEMB5,GTXPro,Hatfan,Won,2017-03-16,4907.0
L62MDI48,MG Advanced,Isdom,Lost,2017-03-01,0.0
3ECHUPQY,GTX Plus Basic,,Engaging,,
3EL8D4WO,MG Advanced,Codehow,Won,2017-03-25,3269.0
VOAN1NXG,GTX Basic,Kinnamplus,Won,2017-03-12,579.0
ALW92XQL,GTX Basic,Isdom,Lost,2017-03-25,0.0
TJ6ZA1M3,GTX Basic,Dalttechnology,Lost,2017-03-07,0.0
FKAFO8O9,MG Special,Xx-holding,Won,2017-03-31,51.0
1XBC7M9F,MG Special,Faxquote,Won,2017-03-08,64.0
8IXBS90G,MG Special,Donware,Won,2017-03-08,60.0
2X45BEOS,GTX Plus Basic,Ganjaflex,Won,2017-03-27,1186.0
EQ8X0QTL,MG Advanced,Yearin,Won,2017-03-09,3577.0
5QD53WHF,GTX Plus Basic,Donquadtech,Won,2017-03-07,1020.0
K5CWSFCW,GTXPro,Blackzim,Engaging,,
79EABK3X,MG Special,Zoomit,Won,2017-03-23,53.0
2DKO9X1T,GTX Basic,Rundofase,Lost,2017-03-10,0.0
IBDEQVBN,GTX Basic,Faxquote,Lost,2017-03-28,0.0
QZ3VV4C1,GTXPro,Sunnamplex,Won,2017-03-08,4719.0
62AK8UWX,GTX Basic,Codehow,Won,2017-03-22,546.0
5QM4ORNT,GTX Plus Basic,Domzoom,Won,2017-03-21,1212.0
4H2QMS78,GTX Basic,,Engaging,,
S91N9YBL,GTX Basic,Sunnamplex,Lost,2017-03-08,0.0
44H0FJMH,GTX Plus Pro,Bioholding,Lost,2017-03-27,0.0
N5AZLQZR,GTX Plus Pro,Dontechi,Won,2017-03-14,5533.0
4T295XQL,MG Advanced,Finjob,Won,2017-03-01,3295.0
YFS5KLJJ,MG Special,Finjob,Won,2017-03-31,45.0
S8GLKDB9,MG Special,Bioplex,Won,2017-03-04,56.0
SQLYCFGV,GTXPro,Opentech,Engaging,,
EUG019AS,GTX Basic,,Engaging,,
IE7VQ5BA,GTX Plus Basic,Finhigh,Engaging,,
01QKN578,GTXPro,Funholding,Won,2017-03-20,4247.0
M0JKP0HT,MG Advanced,Isdom,Won,2017-03-13,3440.0
ZC3KKSUK,GTXPro,Plexzap,Won,2017-03-02,5040.0
3X8VLQ5G,GTX Basic,Cancity,Won,2017-03-12,469.0
EZLXL6GL,MG Special,Isdom,Won,2017-03-07,58.0
R8PEL8V8,MG Advanced,Isdom,Won,2017-03-16,2955.0
L1R32S8H,GTX Plus Pro,Condax,Won,2017-03-26,5228.0
J7N8J8NM,MG Advanced,Toughzap,Won,2017-03-14,3358.0
TO7PGVP1,GTX Plus Pro,Green-Plus,Lost,2017-03-29,0.0
A051G1B4,GTX Basic,Codehow,Won,2017-03-31,517.0
NMDMM5YJ,GTX Basic,Dontechi,Won,2017-03-03,615.0
LWPJEV3U,GTX Basic,Domzoom,Lost,2017-03-10,0.0
I93ZFHEM,MG Special,Condax,Won,2017-03-08,62.0
B2VJCVBB,GTX Plus Pro,Isdom,Won,2017-03-13,4711.0
F90O03ZH,GTXPro,Kinnamplus,Lost,2017-03-23,0.0
PC78RLUX,GTX Basic,Yearin,Won,2017-03-30,510.0
X6GL64T5,GTXPro,Warephase,Won,2017-03-25,4891.0
OWM3BPGW,GTX Plus Basic,Green-Plus,Won,2017-03-17,926.0
RP5PS9A5,MG Special,Betatech,Won,2017-03-10,56.0
AI76U58A,GTX Basic,Treequote,Engaging,,
KFPM2LJW,GTX Basic,,Engaging,,
F2PW7WP2,MG Special,Ontomedia,Won,2017-03-05,47.0
GK8YD2XW,GTX Basic,Rangreen,Lost,2017-03-23,0.0
U4LRR9E9,GTX Plus Pro,Nam-zim,Won,2017-03-10,6490.0
B00UMAV4,MG Advanced,Gogozoom,Engaging,,
C8TV7R8A,GTXPro,,Engaging,,
9N55D1AH,MG Advanced,Treequote,Won,2017-03-02,3841.0
2VCDVCIZ,GTX Basic,,Engaging,,
WI4PODA2,GTX Plus Pro,Faxquote,Won,2017-03-15,5256.0
VF1V41RI,MG Special,Kan-code,Lost,2017-03-28,0.0
1B4L7TNG,MG Advanced,Sonron,Lost,2017-03-25,0.0
MZAN11FT,GTX Basic,Conecom,Won,2017-03-01,625.0
0U3WVJO0,GTXPro,,Engaging,,
0IO00FNS,GTXPro,Warephase,Lost,2017-03-16,0.0
8S6TNXYB,GTXPro,Conecom,Won,2017-03-22,3952.0
PMMW9JX3,GTX Basic,,Engaging,,
MOLGOSGE,GTX Plus Pro,Konex,Won,2017-03-13,5515.0
FA1VHZSV,MG Special,Vehement Capital Partners,Won,2017-03-16,57.0
PXQEX039,MG Special,Konmatfix,Won,2017-03-28,51.0
RX56S6G3,MG Advanced,Fasehatice,Won,2017-03-13,3803.0
G4F8W039,GTX Plus Pro,Rundofase,Won,2017-03-27,5459.0
4T31MWVO,MG Advanced,Stanredtax,Won,2017-03-23,4148.0
2HT2R2GY,GTX Plus Pro,,Engaging,,
83XN082U,GTX Plus Pro,Ganjaflex,Won,2017-03-23,5002.0
J21W3WIW,MG Advanced,Gekko & Co,Won,2017-03-03,3351.0
52UPJFYI,GTX Basic,Domzoom,Won,2017-03-19,571.0
QOL51JIB,GTX Basic,Goodsilron,Won,2017-03-10,601.0
13GM5I6M,GTXPro,,Engaging,,
93AGN8A6,GTX Basic,Zoomit,Won,2017-03-13,576.0
J7UNJFJL,MG Special,Funholding,Won,2017-03-03,52.0
A4H5ESTU,GTX Plus Basic,Fasehatice,Won,2017-03-13,1185.0
8EZ04VQB,GTX Plus Basic,Gekko & Co,Lost,2017-03-28,0.0
4501T63I,MG Special,Plexzap,Won,2017-03-14,56.0
9IA34L8S,GTX Basic,,Engaging,,
FPNGEJRC,MG Special,Opentech,Won,2017-03-29,54.0
S33WRL0Y,GTXPro,Xx-holding,Won,2017-03-13,4818.0
Q7IRUJK7,GTX Plus Pro,Codehow,Won,2017-03-01,5087.0
DTZPYISJ,GTX Plus Basic,Opentech,Won,2017-03-19,1116.0
Y9HWSG8Z,GTX Basic,Gogozoom,Won,2017-03-20,510.0
5T8Q2YID,MG Special,,Engaging,,
JOQCXC9Z,GTX Basic,Streethex,Won,2017-03-16,565.0
AP7PCLAZ,GTX Basic,Finjob,Won,2017-03-26,633.0
BIE471SO,MG Advanced,Xx-zobam,Won,2017-03-29,3962.0
UA8AWDG4,MG Advanced,Y-corporation,Won,2017-03-22,3672.0
BTT6YAVZ,GTX Plus Basic,Green-Plus,Engaging,,
FZDRB789,GTXPro,Goodsilron,Won,2017-03-18,4586.0
PC1NUL8Q,MG Special,Hottechi,Won,2017-03-02,60.0
O7UUAK3Y,GTX Plus Basic,dambase,Engaging,,
TLOHEQ18,GTX Plus Basic,,Engaging,,
F1X5ZJ7V,GTX Basic,Dontechi,Won,2017-05-04,572.0
IF7MJ88P,GTX Basic,Goodsilron,Won,2017-03-01,550.0
06B7XWPC,GTXPro,Sonron,Won,2017-03-17,4125.0
12MQ3WM8,MG Advanced,Zumgoity,Won,2017-03-10,3647.0
91M6FY8S,GTX Basic,Dontechi,Won,2017-03-21,573.0
0LNZRNEU,GTX Basic,Zencorporation,Won,2017-03-29,542.0
NKOKUS7D,MG Advanced,Donware,Won,2017-03-12,3479.0
NF6GCTMV,MG Advanced,Ganjaflex,Lost,2017-03-22,0.0
I4UCA7CU,GTX Plus Basic,Stanredtax,Won,2017-03-21,1012.0
EWDOBEM6,MG Special,,Engaging,,
1LI7ETNZ,GTX Plus Basic,Doncon,Won,2017-03-06,990.0
N36DEZBR,GTXPro,Sunnamplex,Won,2017-03-18,4374.0
77ZECYVJ,GTX Basic,Finjob,Lost,2017-03-17,0.0
IRB461Y7,GTX Plus Basic,Xx-holding,Won,2017-03-30,1054.0
NM2Q3CGW,MG Special,Scotfind,Won,2017-03-15,55.0
OEEUEIPJ,MG Special,Ganjaflex,Lost,2017-03-05,0.0
5E14LG51,GTX Plus Basic,Iselectrics,Won,2017-03-25,1073.0
TIAGZQ54,MG Advanced,Genco Pura Olive Oil Company,Lost,2017-03-20,0.0
QM6VR1H5,GTX Plus Pro,,Engaging,,
QR2BDRAI,MG Advanced,,Engaging,,
Z75ND4JF,GTX Basic,,Engaging,,
CRX91A45,GTX Basic,Faxquote,Won,2017-03-16,586.0
ZOQ8RC86,GTXPro,Treequote,Won,2017-05-05,4667.0
SV4SOO2K,GTX Plus Basic,Hottechi,Won,2017-03-28,880.0
ITHR5WLF,MG Advanced,Plexzap,Won,2017-03-12,3676.0
CGWJ1WHI,MG Special,,Engaging,,
279625VN,MG Advanced,Funholding,Lost,2017-03-25,0.0
